source_id,category,title,source_url,access_status,corpus_files,licence_class,release_recommendation
paper_bindcraft,paper,One-shot design of functional protein binders with BindCraft (Nature 2025),https://www.nature.com/articles/s41586-025-09429-6,retrieved_full,03_Papers_and_Supplementary/bindcraft_nature_s41586-025-09429-6_fulltext.txt; si_bindcraft_MOESM2-5 (MOESM1 SI PDF: 2 page-range parts in '05 Oversized Files (split)'),journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
paper_boltzgen,paper,BoltzGen: Toward Universal Binder Design (bioRxiv 2025.11.20.689494),https://www.biorxiv.org/content/10.1101/2025.11.20.689494v1,retrieved_fulltext_no_pdf,03_Papers_and_Supplementary/boltzgen_biorxiv_2025.11.20.689494_fulltext.txt,"preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
paper_adaptyv_egfr_preprint,paper,Crowdsourced Protein Design: Lessons From the Adaptyv EGFR Binder Competition (bioRxiv 2025.04.17.648362),https://www.biorxiv.org/content/10.1101/2025.04.17.648362v2,retrieved_full,03_Papers_and_Supplementary/adaptyv_egfr_preprint_metadata.json,"preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
pb_egfr_r1,proteinbase,EGFR competition round 1,https://proteinbase.com/collections/adaptyv-egfr-competition-round-1,retrieved_full,02_proteinbase/pb_adaptyv_egfr_competition_round_1.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_egfr_r2,proteinbase,EGFR competition round 2,https://proteinbase.com/collections/adaptyv-egfr-competition-round-2,retrieved_full,02_proteinbase/pb_adaptyv_egfr_competition_round_2.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_muni,proteinbase,MUNI hackathon: AI agents vs humans,https://proteinbase.com/collections/adaptyv-x-muni-hackathon-ai-agents-vs-humans,retrieved_full,02_proteinbase/pb_adaptyv_x_muni_hackathon_ai_agents_vs_humans.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_trem2,proteinbase,BioArena TREM2 competition,https://proteinbase.com/competitions/bioarena-adaptyv-trem2,retrieved_no_results_yet,02_proteinbase/pb_bioarena_adaptyv_trem2.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_myostatin,proteinbase,EPFL Myostatin competition,https://proteinbase.com/competitions/epfl-adaptyv-myostatin,retrieved_no_results_yet,02_proteinbase/pb_epfl_adaptyv_myostatin.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_rbx1_results,proteinbase,GEM x Adaptyv RBX1 results,https://proteinbase.com/collections/gem-x-adaptyv-rbx1-binder-design-competition-results,retrieved_full,02_proteinbase/pb_gem_x_adaptyv_rbx1_binder_design_competition_results.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_rbx1_all,proteinbase,GEM x Adaptyv RBX1 all submissions,https://proteinbase.com/collections/gem-adaptyv-rbx1-competition-all-submissions,retrieved_full,02_proteinbase/pb_gem_adaptyv_rbx1_competition_all_submissions.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_nipah_comp,proteinbase,Nipah competition page,https://proteinbase.com/competitions/adaptyv-nipah-competition,retrieved_full,02_proteinbase/pb_adaptyv_nipah_competition.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_nipah_results,proteinbase,Nipah binder competition results,https://proteinbase.com/collections/nipah-binder-competition-results,retrieved_full,02_proteinbase/pb_nipah_binder_competition_results.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_nipah_all,proteinbase,Nipah all submissions,https://proteinbase.com/collections/nipah-binder-competition-all-submissions,retrieved_full,02_proteinbase/pb_nipah_binder_competition_all_submissions.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_rfdiff_reval,proteinbase,RFdiffusion re-validation,https://proteinbase.com/collections/rfdiffusion-re-validation,retrieved_full,02_proteinbase/pb_rfdiffusion_re_validation.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_bindcraft_reval,proteinbase,BindCraft1 re-validation,https://proteinbase.com/collections/bindcraft1-revalidation,retrieved_full,02_proteinbase/pb_bindcraft1_revalidation.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_boltzgen,proteinbase,BoltzGen release collection,https://proteinbase.com/collections/boltzgen-release,retrieved_full,02_proteinbase/pb_boltzgen_release.csv; pb_raw_html.zip (artifact; chunked mirror in '05 Oversized Files (split)'),third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
gh_egfr_comp1,companion_data,adaptyvbio/egfr_competition_1 (official data repo),https://github.com/adaptyvbio/egfr_competition_1,retrieved_full,04_linked_data/gh_adaptyvbio_egfr_competition_1.zip,code/data repository snapshot (repository licence applies),OK (keep repo LICENSE files intact)
gh_egfr_comp2,companion_data,adaptyvbio/egfr_competition_2 (official data repo),https://github.com/adaptyvbio/egfr_competition_2,retrieved_full,04_linked_data/gh_adaptyvbio_egfr_competition_2.zip,code/data repository snapshot (repository licence applies),OK (keep repo LICENSE files intact)
gh_nipah_ipsae,companion_data,adaptyvbio/nipah_ipsae_pipeline,https://github.com/adaptyvbio/nipah_ipsae_pipeline,retrieved_full,04_linked_data/gh_adaptyvbio_nipah_ipsae_pipeline.zip,code/data repository snapshot (repository licence applies),OK (keep repo LICENSE files intact)
gh_wellswood,companion_data,wells-wood-research/adaptyv-bio-analysis AUROC tables,https://github.com/wells-wood-research/adaptyv-bio-analysis,retrieved_partial,04_linked_data/gh_wellswood_binding_auroc_results.csv; 04_linked_data/gh_wellswood_high_expression_auroc_results.csv,code/data repository snapshot (repository licence applies),OK (keep repo LICENSE files intact)
zenodo_14014029,companion_data,Zenodo 14014029: scalable soluble-expression data collection,https://zenodo.org/records/14014029,retrieved_full,04_linked_data/zenodo_14014029_soluble_expression_paper.pdf,code/data repository snapshot (repository licence applies),OK (keep repo LICENSE files intact)
pb_bulk_jan2026,companion_data,ProteinBase bulk CSV (Jan-28-2026 snapshot),https://storage.proteinbase.com/proteinbase_all_data_28_01_2026.csv,retrieved_full,02_proteinbase/proteinbase_bulk_jan2026.csv.gz,third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
pb_combined,derived,pb_all_collections_combined.csv (derived),(derived from 13 ProteinBase pages),derived,02_proteinbase/pb_all_collections_combined.csv.gz,third-party database export (ProteinBase; data belong to depositors),REVIEW — check ProteinBase terms; consider URL-only
prompt_fig1,prompt_figures,Figure 1: Local Composition Perplexity (LCP) restraint definition (supplied by Richard Shuai),(prompt attachment; unpublished),retrieved,06_Prompt_Figures/Figure 1.jpg,figure supplied for the prompt by a third party (confirm permission covers public redistribution; Figure 1 is typeset text from a publication — cite it),REVIEW — confirm permission / cite original
prompt_fig2,prompt_figures,Figure 2: LCP penalty by sequence-design method + example sequences (supplied by Richard Shuai),(prompt attachment; unpublished),retrieved,06_Prompt_Figures/Figure 2.jpg,figure supplied for the prompt by a third party (confirm permission covers public redistribution; Figure 1 is typeset text from a publication — cite it),REVIEW — confirm permission / cite original
partial_diffusion_nature,prompt_cited_paper,"De novo design of high-affinity binders of bioactive helical peptides (Vazquez Torres et al., Nature 2024)",https://www.nature.com/articles/s41586-023-06953-1,retrieved_full,"07_Prompt-Cited_Papers/Partial Diffusion ... [FULLTEXT, PDF paywalled].txt; Partial Diffusion ... (pp1-18, 19-23 of 23).pdf [2 lossless parts]",journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
efficient_evolution,prompt_cited_paper,"Efficient evolution of human antibodies from general protein language models (Hie et al., Nat Biotech 2024)",https://www.nature.com/articles/s41587-023-01763-2,retrieved_full,07_Prompt-Cited_Papers/Efficient Evolution ... s41587-023-01763-2.pdf,journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
ef2_filtering_benchmark_paper,prompt_cited_paper,"Benchmarking ESMFold2, Protenix v2, and Eleven Other Co-folding Configurations as De Novo Binder Filters (companion benchmark paper, v14)",(companion paper distributed with this corpus; public preprint link to be added on release),retrieved_full,07_Prompt-Cited_Papers/Benchmark paper - Co-folding configurations as de novo binder filters (v14) [author typeset].pdf; 07_Prompt-Cited_Papers/Benchmark paper - Co-folding configurations as de novo binder filters (v14) [source markdown].md,own work (Anthropic companion paper),OK
overath_metaanalysis,prompt_cited_paper,"Predicting Experimental Success in De Novo Binder Design (Overath et al., bioRxiv)",https://www.biorxiv.org/content/10.1101/2025.08.14.670059v2,retrieved_full,"07_Prompt-Cited_Papers/Overath et al ... (pp1-9, 10-21, 22-24, 25-27, 28-31, 32-36 of 36).pdf [6 lossless page-range parts]","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
origin1_preprint,prompt_cited_paper,Origin-1: generative AI platform for de novo antibody design (bioRxiv),https://www.biorxiv.org/content/10.64898/2026.01.14.699389v2,retrieved_full,"07_Prompt-Cited_Papers/Origin-1 ... (pp1-18, 19-41, 42-64, 65-71 of 71).pdf [4 lossless page-range parts]",other,REVIEW
caliby_paper,prompt_cited_paper,"Ensemble-conditioned protein sequence design with Caliby (Shuai et al., bioRxiv)",https://www.biorxiv.org/content/10.1101/2025.09.30.679633,retrieved_full,"07_Prompt-Cited_Papers/Caliby ... [PMC FULLTEXT].txt; Caliby ... (pp1-15, 16-18, 19-20 of 20).pdf [3 lossless parts]","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
protpardelle1c_paper,prompt_cited_paper,"Conditional Protein Structure Generation with Protpardelle-1c (Lu, Shuai et al., bioRxiv)",https://www.biorxiv.org/content/10.1101/2025.08.18.670959,retrieved_full,"07_Prompt-Cited_Papers/Protpardelle-1c ... [PMC FULLTEXT].txt; Protpardelle-1c ... (pp1-7, 8-10, 11-18 of 18).pdf [3 lossless parts]","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
method_mmseqs2,prompt_cited_paper,MMseqs2 enables sensitive protein sequence searching for the analysis of massive data sets,https://doi.org/10.1038/nbt.3988,retrieved,"07_Prompt-Cited_Papers/MMseqs2 - Sensitive protein sequence searching for the analysis of massive data sets (Steinegger & Soding, Nat Biotech 2017, nbt.3988).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')",journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
method_openfold,prompt_cited_paper,OpenFold: retraining AlphaFold2 yields new insights into its learning mechanisms,https://doi.org/10.1038/s41592-024-02272-z,retrieved,"07_Prompt-Cited_Papers/OpenFold (original) - Retraining AlphaFold2 yields new insights into its learning mechanisms and capacity for generalization (Ahdritz et al., Nat Methods 2024, s41592-024-02272-z).pdf",journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
method_af2_initial_guess,prompt_cited_paper,Improving de novo protein binder design with deep learning,https://doi.org/10.1038/s41467-023-38328-5,retrieved,"07_Prompt-Cited_Papers/AF2 initial-guess - Improving de novo protein binder design with deep learning (Bennett et al., Nat Commun 2023, s41467-023-38328-5).pdf",journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
method_af_unmasked,prompt_cited_paper,Unmasking AlphaFold to integrate experiments and predictions in multimeric complexes,https://doi.org/10.1038/s41467-024-52951-w,retrieved,"07_Prompt-Cited_Papers/AF_Unmasked - Unmasking AlphaFold to integrate experiments and predictions in multimeric complexes (Mirabello et al., Nat Commun 2024, s41467-024-52951-w).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')",journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
method_alphafold_multimer,prompt_cited_paper,Protein complex prediction with AlphaFold-Multimer,https://doi.org/10.1101/2021.10.04.463034,retrieved,"07_Prompt-Cited_Papers/AlphaFold-Multimer - Protein complex prediction with AlphaFold-Multimer (Evans et al., bioRxiv 2021.10.04.463034).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
method_alphafold2,prompt_cited_paper,Highly accurate protein structure prediction with AlphaFold,https://doi.org/10.1038/s41586-021-03819-2,retrieved,"07_Prompt-Cited_Papers/AlphaFold2 - Highly accurate protein structure prediction with AlphaFold (Jumper et al., Nature 2021, s41586-021-03819-2).pdf",journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
method_alphaproteo,prompt_cited_paper,De novo design of high-affinity protein binders with AlphaProteo,https://arxiv.org/abs/2409.08022,retrieved,"07_Prompt-Cited_Papers/AlphaProteo - De novo design of high-affinity protein binders with AlphaProteo (Zambaldi et al., arXiv 2409.08022).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
method_bindcraft_freebindcraft,prompt_cited_paper,One-shot design of functional protein binders with BindCraft,https://doi.org/10.1038/s41586-025-09429-6,retrieved,"07_Prompt-Cited_Papers/BindCraft + FreeBindCraft - One-shot design of functional protein binders with BindCraft (Pacesa et al., Nature 2025, s41586-025-09429-6).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')",journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
method_boltz_1,prompt_cited_paper,Democratizing Biomolecular Interaction Modeling,https://doi.org/10.1101/2024.11.19.624167,retrieved,"07_Prompt-Cited_Papers/Boltz-1 - Democratizing Biomolecular Interaction Modeling (Wohlwend et al., bioRxiv 2024.11.19.624167).pdf","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
method_boltz_2,prompt_cited_paper,Towards Accurate and Efficient Binding Affinity Prediction,https://doi.org/10.1101/2025.06.14.659707,retrieved,"07_Prompt-Cited_Papers/Boltz-2 - Towards Accurate and Efficient Binding Affinity Prediction (Passaro et al., bioRxiv 2025.06.14.659707).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
method_boltzdesign1,prompt_cited_paper,Inverting All-Atom Structure Prediction Model for Generalized Biomolecular Binder Design,https://doi.org/10.1101/2025.04.06.647261,retrieved,"07_Prompt-Cited_Papers/BoltzDesign1 - Inverting All-Atom Structure Prediction Model for Generalized Biomolecular Binder Design (Cho et al., bioRxiv 2025.04.06.647261).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
method_boltzgen,prompt_cited_paper,Toward Universal Binder Design,https://doi.org/10.1101/2025.11.20.689494,retrieved,"07_Prompt-Cited_Papers/BoltzGen - Toward Universal Binder Design (Wohlwend et al., bioRxiv 2025.11.20.689494).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
method_cao_2022_binders,prompt_cited_paper,Design of protein-binding proteins from the target structure alone,https://doi.org/10.1038/s41586-022-04654-9,retrieved,"07_Prompt-Cited_Papers/Cao 2022 - Design of protein-binding proteins from the target structure alone (Cao et al., Nature 2022, s41586-022-04654-9).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')",journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
method_chai_1,prompt_cited_paper,Decoding the molecular interactions of life,https://doi.org/10.1101/2024.10.10.615955,retrieved,"07_Prompt-Cited_Papers/Chai-1 - Decoding the molecular interactions of life (Chai Discovery, bioRxiv 2024.10.10.615955).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
method_colabfold,prompt_cited_paper,ColabFold: making protein folding accessible to all,https://doi.org/10.1038/s41592-022-01488-1,retrieved,"07_Prompt-Cited_Papers/ColabFold - Making protein folding accessible to all (Mirdita et al., Nat Methods 2022, s41592-022-01488-1).pdf",journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
method_dockq,prompt_cited_paper,A Quality Measure for Protein-Protein Docking Models,https://doi.org/10.1371/journal.pone.0161879,retrieved,"07_Prompt-Cited_Papers/DockQ - A Quality Measure for Protein-Protein Docking Models (Basu & Wallner, PLoS ONE 2016, pone.0161879).pdf",journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
method_dockq_v2,prompt_cited_paper,"Improved automatic quality measure for protein multimers, nucleic acids, and small molecules",https://doi.org/10.1093/bioinformatics/btae586,retrieved,"07_Prompt-Cited_Papers/DockQ v2 - Improved automatic quality measure for protein multimers nucleic acids and small molecules (Mirabello & Wallner, Bioinformatics 2024, btae586).pdf",journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
method_esmfold2_esmc,prompt_cited_paper,Language Modeling Materializes a World Model of Protein Biology,https://doi.org/10.64898/2026.06.03.729735,retrieved,"07_Prompt-Cited_Papers/ESMFold2 + ESMC - Language Modeling Materializes a World Model of Protein Biology (Candido et al., bioRxiv 2026.06.03.729735).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')",other,REVIEW
method_fampnn,prompt_cited_paper,Sidechain conditioning and modeling for full-atom protein sequence design with FAMPNN,https://doi.org/10.1101/2025.02.13.637498,retrieved,"07_Prompt-Cited_Papers/FAMPNN - Sidechain conditioning and modeling for full-atom protein sequence design (Shuai et al., ICML 2025, OpenReview EE8Z8Se5Te, bioRxiv 2025.02.13.637498).pdf","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
method_foldcraft,prompt_cited_paper,Fold-Conditioned De Novo Binder Design via AlphaFold2-Multimer Hallucination,https://doi.org/10.1101/2025.07.02.662497,retrieved,"07_Prompt-Cited_Papers/FoldCraft - Fold-Conditioned De Novo Binder Design via AlphaFold2-Multimer Hallucination (Rustamov & Baev, bioRxiv 2025.07.02.662497).pdf","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
method_freebindcraft,prompt_cited_paper,METHOD NOTE — see BindCraft paper,authored note,retrieved,07_Prompt-Cited_Papers/FreeBindCraft - METHOD NOTE - see BindCraft Nature 2025 paper (no separate publication).pdf,derived note (own work),OK
method_genie3,prompt_cited_paper,Fast and Ultra-Capable Protein Design via Atomistic SE(3)-Equivariance with Genie 3,https://doi.org/10.64898/2026.05.01.722168,retrieved,"07_Prompt-Cited_Papers/Genie3 - Fast and Ultra-Capable Protein Design via Atomistic SE3-Equivariance (Lin Lee et al., bioRxiv 2026.05.01.722168).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')",other,REVIEW
method_halludesign,prompt_cited_paper,Protein Optimization and de novo Design via Iterative Structure Hallucination and Sequence Design,https://doi.org/10.1101/2025.11.08.686881,retrieved,"07_Prompt-Cited_Papers/HalluDesign - Protein Optimization and de novo Design via Iterative Structure Hallucination and Sequence Design (Fang et al., bioRxiv 2025.11.08.686881).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
method_lis,prompt_cited_paper,Enhanced Protein-Protein Interaction Discovery via AlphaFold-Multimer (Local Interaction Score),https://doi.org/10.1101/2024.02.19.580970,retrieved,"07_Prompt-Cited_Papers/LIS - Enhanced Protein-Protein Interaction Discovery via AlphaFold-Multimer (Kim et al., bioRxiv 2024.02.19.580970).pdf  (split into 5MB parts per corpus convention: '(ppA-B of N).pdf')","preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
method_mosaic,prompt_cited_paper,Method documentation (GitHub README + blog posts; no preprint),github+blog→PDF,retrieved,"07_Prompt-Cited_Papers/Mosaic - Method documentation (Escalante Bio, GitHub README + blog posts, no preprint).pdf",code/data repository snapshot (repository licence applies),OK (keep repo LICENSE files intact)
method_openfold3_p1,prompt_cited_paper,OpenFold3 Technical Report Phase 1,github raw,retrieved,"07_Prompt-Cited_Papers/OpenFold3 - Technical Report Phase 1 (AlQuraishi Lab, github aqlaboratory openfold-3).pdf",code/data repository snapshot (repository licence applies),OK (keep repo LICENSE files intact)
method_openfold3_p2,prompt_cited_paper,OpenFold3 Technical Report Phase 2,github raw,retrieved,"07_Prompt-Cited_Papers/OpenFold3 - Technical Report Phase 2 (AlQuraishi Lab, github aqlaboratory openfold-3).pdf",code/data repository snapshot (repository licence applies),OK (keep repo LICENSE files intact)
